id,title,runtime,year,advertiser,products,mood,video_url,animals,characters,category
2855917,"Crepe Erase Advanced TV Commercial, 'Washing Our Hands More Than Ever' Featuring Jane Seymour",300,2020,Crepe Erase,"Crepe Erase Advanced Body Repair Treatment, Crepe Erase 4-in-1 Line Smoothing Capsules, Crepe Erase Advanced Body Smoothing Pre-Treatment, Crepe Erase Anti-Aging Hand Repair Treatment, Crepe Erase Overnight Facial Plumping Treatment",Active,https://d3npuic909260z.cloudfront.net/002/855/917/nKCk.mp4,,,covid
2855919,"Golf Galaxy TV Commercial, 'Contactless Club Fitting'",30,2020,Golf Galaxy,,Active,https://d3npuic909260z.cloudfront.net/002/855/919/nKCY.mp4,,,covid
2856026,"Kia TV Commercial, 'Reclaim the Roadtrip' [T1]",30,2020,Kia,"2020 Kia Sportage SX Turbo AWD, 2020 Kia Sorento SX AWD, 2020 Kia Stinger GT2",Active,https://d3npuic909260z.cloudfront.net/002/856/026/nKNJ.mp4,Cows,Kids,covid
2856284,"Sandals Resorts Grande Antigua TV Commercial, 'Falling in Love: Now Open'",15,2020,Sandals Resorts,,Active,https://d3npuic909260z.cloudfront.net/002/856/284/nKEh.mp4,,,covid
2856513,"Jack in the Box Tiny Tacos TV Commercial, 'Back for Good'",15,2020,Jack in the Box,"Jack in the Box Tiny Tacos, Jack in the Box Loaded Tiny Tacos",Active,https://d3npuic909260z.cloudfront.net/002/856/513/nKHl.mp4,,,covid
2856717,"Denny's TV Commercial, 'Staying at Home: Free Delivery'",15,2020,Denny's,,Active,https://d3npuic909260z.cloudfront.net/002/856/717/nKJX.mp4,,,covid
2856739,"Massage Envy TV Commercial, 'Time on the Couch'",30,2020,Massage Envy,,Active,https://d3npuic909260z.cloudfront.net/002/856/739/nKa7.mp4,,,covid
2856909,"Ethan Allen TV Commercial, 'Now More Than Ever'",30,2020,Ethan Allen,,Active,https://d3npuic909260z.cloudfront.net/002/856/909/nKia.mp4,Dogs,Kids,covid
2857163,"Stein Mart Clearance Sale TV Commercial, 'Let's Get Real'",15,2020,Stein Mart,,Active,https://d3npuic909260z.cloudfront.net/002/857/163/nKQi.mp4,,,covid
2857178,"Taco Bell $5 Chalupa Cravings Box TV Commercial, 'La isla de los tímidos'",15,2020,,,,https://d3npuic909260z.cloudfront.net/002/857/178/nK3L.mp4,,,covid
2857213,"Massage Envy TV Commercial, 'Regularity: Taking Care'",15,2020,Massage Envy,,Active,https://d3npuic909260z.cloudfront.net/002/857/213/nK3z.mp4,,,covid
2857217,"Marco's Pizza Specialty Pizza TV Commercial, 'Take a Bite Out of Summer'",15,2020,Marco's Pizza,"Pepsi, Marco's Pizza Pizza Bowls, Marco's Pizza Specialty Pizzas",Active,https://d3npuic909260z.cloudfront.net/002/857/217/nK3W.mp4,,,covid
2857394,"National Association of Realtors TV Commercial, 'Light the Way'",30,2020,National Association of Realtors,,Active,https://d3npuic909260z.cloudfront.net/002/857/394/nKPy.mp4,,,covid
2857719,"Literati TV Commercial, 'A Reason to Love Staying at Home'",15,2020,Literati,Literati Book Club,Informational,https://d3npuic909260z.cloudfront.net/002/857/719/npVs.mp4,,Kids,covid
2857770,"Frito Lay TV Commercial, 'A veranear'",30,2020,,,,https://d3npuic909260z.cloudfront.net/002/857/770/npkp.mp4,,,covid
2857772,"Nutrisystem TV Commercial, 'The Quarantine 15'",30,2020,Nutrisystem,Nutrisystem Probiotic Shakes,Active,https://d3npuic909260z.cloudfront.net/002/857/772/npky.mp4,,,covid
2857823,"XFINITY TV Commercial, 'Redefining School' Song by Bhi Bhiman",30,2020,Comcast/XFINITY,Comcast/XFINITY Internet Essentials,Active,https://d3npuic909260z.cloudfront.net/002/857/823/npL1.mp4,,Kids,covid
2857989,"National Tire & Battery TV Commercial, 'Gearing Up: Continental Tires'",30,2020,National Tire & Battery (NTB),"VISA Prepaid, Continental Tire SureContact RX, National Tire & Battery (NTB) Credit Card, Tire Kingdom Credit Card",Active,https://d3npuic909260z.cloudfront.net/002/857/989/np70.mp4,,,covid
2858387,"My Black is Beautiful TV Commercial, 'Under Attack'",30,2020,My Black is Beautiful,,Emotional,https://d3npuic909260z.cloudfront.net/002/858/387/npnq.mp4,,,covid
2858433,"Royal Prestige TV Commercial, 'Sueños deliciosos'",30,2020,,,,https://d3npuic909260z.cloudfront.net/002/858/433/npn4.mp4,,,covid
2858936,"BP TV Commercial, 'Devastating Pandemic'",30,2020,BP,,Active,https://d3npuic909260z.cloudfront.net/002/858/936/np6v.mp4,,,covid
2858963,"T-Mobile Unlimited 55+ TV Commercial, 'Connection for 55+ Customers: $55 for Two Lines'",30,2020,T-Mobile,T-Mobile Unlimited 55+,Active,https://d3npuic909260z.cloudfront.net/002/858/963/npfg.mp4,,"Babies, Kids",covid
2859100,"Salesforce Work.com TV Commercial, 'Journey'",30,2020,Salesforce,,Active,https://d3npuic909260z.cloudfront.net/002/859/100/npBM.mp4,,,covid
2859266,"Sprint TV Commercial, 'Cuatro líneas: $100 dólares y Galaxy'",30,2020,,,,https://d3npuic909260z.cloudfront.net/002/859/266/npGn.mp4,,,covid
2859327,"Sprint Unlimited TV Commercial, 'Cuatro Apple iPhone 11'",30,2020,,,,https://d3npuic909260z.cloudfront.net/002/859/327/npKo.mp4,,,covid
2859412,"Jack in the Box Tiny Tacos TV Commercial, 'Te escuchamos'",15,2020,,,,https://d3npuic909260z.cloudfront.net/002/859/412/nppR.mp4,,,covid
2859437,"Microsoft Teams TV Commercial, 'Los médicos se están comunicando de otra manera'",30,2020,,,,https://d3npuic909260z.cloudfront.net/002/859/437/nppc.mp4,,,covid
2859502,"Advil TV Commercial, 'Una nueva fuerza' canción de Hannah Grace",15,2020,,,,https://d3npuic909260z.cloudfront.net/002/859/502/npDP.mp4,,,covid
2859568,"Dunkin' Refreshers TV Commercial, 'Get Your Glow Back'",15,2020,Dunkin',"Dunkin' Strawberry Dragonfruit Refresher, Dunkin' Peach Passion Fruit Refresher, Dunkin' DD Perks Rewards Program, Dunkin' App",Active,https://d3npuic909260z.cloudfront.net/002/859/568/npyU.mp4,,,covid
2859633,"United Nations Foundation TV Commercial, 'Los Minions'",60,2020,,,,https://d3npuic909260z.cloudfront.net/002/859/633/npRV.mp4,,,covid
2859634,"Cup Call TV Commercial, 'Dangerous Distraction: Face Masks'",120,2020,Cup Call,"Cup Call, Air Police Air Police 4 Face Masks",Active,https://d3npuic909260z.cloudfront.net/002/859/634/npRk.mp4,,,covid
